iter	Logloss
0	0.671283266
1	0.6461420101
2	0.6219516378
3	0.6005872118
4	0.5776739403
5	0.5582851062
6	0.5354281751
7	0.5114120544
8	0.4971275356
9	0.4827065464
10	0.4707055406
11	0.4676215202
12	0.4516919243
13	0.4373463563
14	0.4203952678
15	0.4059859035
16	0.3946282119
17	0.3798871424
18	0.375007489
19	0.3591768215
20	0.345382909
21	0.3379227918
22	0.3294270799
23	0.3193531941
24	0.3066372798
25	0.298723386
26	0.2907982018
27	0.2819119557
28	0.2769251123
29	0.2690133778
30	0.2592403824
31	0.2530083399
32	0.2434902885
33	0.2363504788
34	0.2314028012
35	0.2253538822
36	0.2170676555
37	0.2134765355
38	0.206215807
39	0.199632262
40	0.1944708594
41	0.1912035211
42	0.1867040585
43	0.1820896389
44	0.175223641
45	0.1723342287
46	0.1679378098
47	0.1651631553
48	0.1626637561
49	0.1589812548
50	0.1558311136
51	0.1534033386
52	0.1495735195
53	0.1458040367
54	0.1419135915
55	0.1390757727
56	0.1361728432
57	0.1343891386
58	0.1317988204
59	0.1298300983
60	0.1268106838
61	0.1245882644
62	0.1226499226
63	0.1210527435
64	0.1176363219
65	0.1157297788
66	0.1135023347
67	0.1110883224
68	0.1098231182
69	0.1077662361
70	0.1056401193
71	0.1037368207
72	0.1014917206
73	0.09970795963
74	0.09814445266
75	0.09657557033
76	0.09450606739
77	0.09340481415
78	0.09221137696
79	0.09059914953
80	0.08922991797
81	0.08815288174
82	0.08665921032
83	0.08540070769
84	0.08394353633
85	0.08268872326
86	0.08122819995
87	0.08003134403
88	0.0783456105
89	0.0772447041
90	0.07609737775
91	0.07514916784
92	0.07424483625
93	0.07312314212
94	0.07227923999
95	0.0715266031
96	0.07027291943
97	0.06944325569
98	0.06829101061
99	0.06710367461
100	0.06546242949
101	0.06479971605
102	0.06435284472
103	0.06297030175
104	0.06206669465
105	0.06118224385
106	0.06013879402
107	0.05922672931
108	0.0582461255
109	0.05751006984
110	0.05683236528
111	0.05596930856
112	0.055242945
113	0.05446226613
114	0.05359818247
115	0.05281454337
116	0.05219421556
117	0.05145098829
118	0.05041885502
119	0.04985638041
120	0.0491060427
121	0.04854476222
122	0.04792357327
123	0.04723255476
124	0.04666896344
125	0.04606655243
126	0.04545761047
127	0.04477124362
128	0.0441296313
129	0.04352574044
130	0.04292703801
131	0.04230161735
132	0.04160992621
133	0.04096174681
134	0.04040484568
135	0.03986963118
136	0.03933742165
137	0.03885807875
138	0.03828182717
139	0.03779996953
140	0.03713145643
141	0.0367445557
142	0.03626129321
143	0.03575877042
144	0.03537947189
145	0.03462189641
146	0.03425002144
147	0.03391642278
148	0.03332179532
149	0.03271381475
150	0.03237663584
151	0.03180923064
152	0.03137540391
153	0.0310428606
154	0.03062716973
155	0.03034223683
156	0.03010460332
157	0.02963772091
158	0.02931172202
159	0.02890273975
160	0.02860479868
161	0.02802728623
162	0.02763015101
163	0.0273623482
164	0.02701886952
165	0.02660840677
166	0.02627933952
167	0.02593621487
168	0.02565929004
169	0.02532869259
170	0.02502844999
171	0.02462261994
172	0.0243197528
173	0.02411695528
174	0.02388172733
175	0.02366444687
176	0.02339616219
177	0.02312101313
178	0.02274601013
179	0.02253770477
180	0.02226983478
181	0.02198596629
182	0.02179158689
183	0.02152787708
184	0.02118649627
185	0.02075186193
186	0.02054680207
187	0.02036948092
188	0.0200579666
189	0.01989951372
190	0.01962078578
191	0.01942616244
192	0.0191510729
193	0.0189574957
194	0.01880761459
195	0.01865674414
196	0.01817218753
197	0.01799781481
198	0.01779970089
199	0.01765806237
200	0.01748196919
201	0.01728494527
202	0.01715406797
203	0.01699308391
204	0.01676323433
205	0.01659362669
206	0.01644258219
207	0.01629305468
208	0.01619468412
209	0.01605430191
210	0.01590237805
211	0.01576352405
212	0.0156005397
213	0.01545776409
214	0.01532593614
215	0.01511203816
216	0.01488761778
217	0.01473843449
218	0.01461425812
219	0.01451718853
220	0.01440862171
221	0.01422501762
222	0.01412817623
223	0.01400346289
224	0.01391744555
225	0.01380730971
226	0.01372776343
227	0.01362565919
228	0.01351321424
229	0.01342056797
230	0.01329898681
231	0.01322534552
232	0.01312323504
233	0.01305160259
234	0.01294983173
235	0.0128842299
236	0.01273577329
237	0.01264993786
238	0.01255991447
239	0.01247906896
240	0.01241302929
241	0.01232051427
242	0.01224922133
243	0.01217208017
244	0.01205047959
245	0.0119854622
246	0.01190029554
247	0.01181402309
248	0.01172764396
249	0.01164581608
250	0.0115756998
251	0.01151559224
252	0.01144119012
253	0.01138537845
254	0.01130797033
255	0.01123160042
256	0.01114856987
257	0.01106983151
258	0.01101914944
259	0.01094256189
260	0.01086918101
261	0.01079610013
262	0.01073635297
263	0.01067211072
264	0.01060237215
265	0.01054058441
266	0.01047149309
267	0.0104167311
268	0.01035196288
269	0.01028482526
270	0.01021981105
271	0.01015708759
272	0.01011076584
273	0.01006218063
274	0.009999770303
275	0.009937618026
276	0.009886892169
277	0.009838405519
278	0.009777944209
279	0.00973776699
280	0.009681115123
281	0.009622509534
282	0.009559000845
283	0.009518998709
284	0.009473531096
285	0.009417966357
286	0.00937260957
287	0.009321475616
288	0.009267466168
289	0.009229809807
290	0.009192714843
291	0.009155902986
292	0.009104739504
293	0.009053395921
294	0.009015186458
295	0.008974105057
296	0.008923811782
297	0.00887448791
298	0.0088400117
299	0.008800691016
300	0.008766361333
301	0.008718867282
302	0.008685390336
303	0.008652012477
304	0.008605953969
305	0.00856009697
306	0.008522940266
307	0.008491335421
308	0.008447038077
309	0.0084160746
310	0.00837183915
311	0.008341449354
312	0.008311086996
313	0.008268299231
314	0.008238777737
315	0.008196322437
316	0.008166736279
317	0.008132811865
318	0.008091565109
319	0.008051708919
320	0.00801817147
321	0.007987870558
322	0.007954936501
323	0.00792263952
324	0.007890064628
325	0.007858834271
326	0.007827418268
327	0.007796269399
328	0.007765503343
329	0.007734824843
330	0.007704519648
331	0.007674619425
332	0.007644636297
333	0.007619335342
334	0.007590177484
335	0.007560396105
336	0.007532143167
337	0.007504426463
338	0.007475503571
339	0.007447104105
340	0.007418948503
341	0.007391376672
342	0.007352742742
343	0.007325164131
344	0.00729844156
345	0.007260717928
346	0.007233988712
347	0.007196862558
348	0.007170533794
349	0.007144798922
350	0.00710818406
351	0.0070730259
352	0.007042385943
353	0.007007861895
354	0.006978268122
355	0.00694419297
356	0.006919743822
357	0.006886627929
358	0.006861992411
359	0.00682935377
360	0.006800509088
361	0.006768357731
362	0.006736424299
363	0.006708242411
364	0.006676807531
365	0.006649907037
366	0.0066191153
367	0.006592409553
368	0.00656231951
369	0.006534821183
370	0.006504949782
371	0.006475807516
372	0.006449305701
373	0.00642021227
374	0.006394331232
375	0.006374589317
376	0.006348220049
377	0.006320787671
378	0.006293284926
379	0.006268048462
380	0.006241186868
381	0.006216449698
382	0.006189751092
383	0.006165351984
384	0.006139388803
385	0.006115521892
386	0.006094198539
